date,schools,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
11/01/2021,0,-5,13,14,-13,-9,3
11/02/2021,0,-2,15,24,-11,-9,2
11/03/2021,0,-2,13,28,-10,-8,2
11/04/2021,0,-2,12,30,-10,-9,2
11/05/2021,0,3,14,63,-11,-3,-1
11/06/2021,0,-6,11,46,-17,-1,-2
11/07/2021,0,-5,10,27,-12,-7,2
11/08/2021,0,-4,12,19,-13,-8,2
11/09/2021,0,-2,13,24,-11,-9,2
11/10/2021,0,0,15,30,-8,-8,2
11/11/2021,0,0,14,27,-10,-9,2
11/12/2021,0,4,15,59,-10,-4,-1
11/13/2021,0,-6,15,30,-16,-2,-1
11/14/2021,0,-5,12,22,-12,-8,3
11/15/2021,0,-3,14,17,-12,-8,2
11/16/2021,0,-1,14,21,-11,-8,2
11/17/2021,0,0,14,27,-8,-7,2
11/18/2021,0,-1,14,22,-11,-9,2
11/19/2021,0,-1,12,19,-15,-5,1
11/20/2021,0,-24,-2,-41,-29,-7,3
11/21/2021,0,-4,11,11,-14,-6,3
11/22/2021,0,-1,15,10,-13,-7,3
11/23/2021,0,0,14,19,-11,-8,2
11/24/2021,0,1,14,26,-9,-7,2
11/25/2021,0,2,13,24,-10,-9,2
11/26/2021,0,6,14,53,-9,-4,0
11/27/2021,0,-1,17,44,-13,-2,-1
11/28/2021,0,-1,18,25,-12,-7,2
11/29/2021,0,-1,15,19,-12,-8,3
11/30/2021,0,3,15,32,-12,-23,4
